"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"SC-14","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard""","BLUEDUCK WORKSHOP","23513918","""10% off on whole dinners"",""A complimentary birthday cake upon 4 persons or above dining""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-western.html","2016-01-01","2016-12-31","""Flat A, 3/F Fully Industrial Building, 6 Tsun Yip Lane, Kwun Tong, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/dining-western/blueduck-workshop.gif"
"SC-15","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard""","Fullhouse Signature","23692813","""10% off upon dine-in spending of HK$400 or above""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-western.html","2016-01-01","2016-12-31","""Shop 1A, G/F, BCC Building, 25-31 Carnarvon Road, Tsim Sha Tsui, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/123-Fullhouse-Signature.gif"
"SC-16","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card""","Urawa Japanese Restaurant","24986828","""10% off on à la carte dinner menu for dine-in from Sunday to Thursday""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-asian.html","2016-01-01","2016-12-31","""3/F, Lik Sang Plaza, 269 Castle Peak Road,  Tsuen Wan , New Territories""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/dining-japanese/urawa-japanese-restaurant.gif"
"SC-17","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard""","Hang Cheong Loong Bird's Nest & Ginseng Ltd.","25423039","""10% off on regular-priced of Bird's nest, Ginseng and Healthcare products""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-others.html","2016-01-01","2016-12-31","""G/F, 62 Wing Lok Street, Sheung Wan , Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/dining-others/hang-cheong-loong.gif"
"SC-18","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card""","Lam Kie Yuen Tea Co. Ltd.","25437154","""10% off on regular-priced items upon purchase of HK$200""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-others.html","2016-01-01","2016-12-31","""G/F, 105-107 Bonham Strand East, Sheung Wan, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/dining-others/lam-kie-yuen.gif"
"SC-19","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Best Western Hotel Harbour View - Terrace Café","25999843","""10% off on set lunch appetizer buffet (Monday to Friday)"",""10% off on weekend set lunch (Saturday, Sunday and public holidays)"",""10% off on set dinner""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""3/F, Best Western Hotel Harbour View, 239 Queen's Road West, Western District, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/135-best-western-hotel-harbour-terrace-cafe.jpg"
"SC-20","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard""","Nasubi Japanese Restaurant","26700662","""A complimentary Green Tea Hotpot upon spending of HK$1,000 or above per table (valued at HK$98) on dinner"",""A complimentary dessert upon patronage on dinner""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-asian.html","2016-01-01","2016-12-31","""Shops 6-8, G/F, Tonnochy Towers, 260-264 Jaffe Road, Wan Chai, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/058-Nasubi-Japanese-Restaurant.gif"
"SC-21","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Royal Pacific Hotel & Towers - Café on the PARK","27382322","""20% off on buffets""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""2/F, Hotel Wing, The Royal Pacific Hotel & Towers, China Hong Kong City, 33 Canton Road, Tsim Sha Tsui, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/203-the-royal-pacific-hotel-towers-Cafe-on-the-park.jpg"
"SC-22","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","The Royal Pacific Hotel & Towers - Pierside Bar & Restaurant","27382398","""20% off on à la carte menu"",""15% off on lunch and dinner set menus""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-hotel.html","2016-01-01","2016-12-31","""Upper Lobby, Towers Wing, The Royal Pacific Hotel & Towers, China Hong Kong City, 33 Canton Road, Tsim Sha Tsui, Kowloon""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/images/204-the-royal-pacific-hotel-towers-pierside-bar-restaurant.jpg"
"SC-23","en","Standard Chatard","""Standard Chartered Visa Credit Card"",""Standard Chartered MasterCard"",""Standard Chartered UnionPay Dual Currency Platinum Credit Card"",""Standard Chartered WorldMiles Card (formerly known as Standard Chartered American Express® Card)""","Espuma","27392080","""A complimentary full size of Daily Waffle upon spending of HK$400 or above per table""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers-2016/dining-western.html","2016-01-01","2016-12-31","""2/F, H8, 8 Hau Fook Street, Tsim Sha Tsui, Kowloon 17/F, M88, 2-8 Wellington Street, Wellington Plaza, Central, Hong Kong 25/F, QRE Plaza, 202 Queen's Road East, Wan Chai, Hong Kong""","https://www.sc.com/hk/promotion/credit-cards/year-round-offers/images/logo/dining-western/espuma.gif"
