"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"DBS-45","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Chor Bazare Indian Cuisine","38694400","""15% discount on regular-priced dishes""","http://www.dbs.com.hk/personal/promotion/chorbazareindiancuisine-en","2016-01-01","2016-12-31","""G/F, 14 Sun Chun Street, Tai Hang""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-chorbazareindiancuisine-en.jpg"
"DBS-41","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","ClubONE Kowloon East","31628728","""10% discount on lunch à la carte menu""","http://www.dbs.com.hk/personal/promotion/clubonekowlooneast-en","2016-01-01","2016-12-31","""2/F, Kwun Tong View, Kwun Tong""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-clubonekowlooneast-en.jpg"
"DBS-32","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Mama San Restaurant &amp; Bar","28818901","""10% discount on à la carte menu""","http://www.dbs.com.hk/personal/promotion/mamasanrestaurantandbar-en","2016-01-01","2016-12-31","""1/F, Wining Center, 46- 48 Wyndham Street, Central""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-mamasanrestaurantandbar-en.jpg"
"DBS-11","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Hui Lau Shan","24421882","""10% discount on regular-priced food and beverage""","http://www.dbs.com.hk/personal/promotion/huilaushan-en","2016-01-01","2016-12-31","""All outlet""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-huilaushan-en.jpg"
"DBS-7","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Koh-I-Noor Indian Restaurant","23683065","""10% discount on food and beverage""","http://www.dbs.com.hk/personal/promotion/kohinoorindianrestaurtant-en","2016-01-01","2016-12-31","""Shop 3-4, 1/F, Peninsula Mansion, 16C Mody Road, Tsim Sha Tsui""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-kohinoorindianrestaurtant-en.jpg"
"DBS-6","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Flame at Towngas Avenue","23672713","""10% discount on food and beverage""","http://www.dbs.com.hk/personal/promotion/flameattowngasavenue-en","2016-01-01","2016-12-31","""Shop 1, Promenade Level, Tower 1, China Hong Kong City, Tsim Sha Tsui""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-flameattowngasavenue-en.jpg"
"DBS-5","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Grove Café","23400085","""A complimentary HydroVeg Salad upon spending of HK$300 or above on à la carte menu dine-in""","http://www.dbs.com.hk/personal/promotion/grovecafe-en","2016-01-01","2016-12-31","""Shop 28A, G/F, Domain, 38 Ko Chiu Road, Yau Tong, Yau Tong""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-grovecafe-en.jpg"
"DBS-39","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Loyal Dining","31253000","""10% discount on dinner""","http://www.dbs.com.hk/personal/promotion/loyaldining-en","2016-01-01","2016-12-31","""66 Wellington Street, Central""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-loyaldining-en.jpg"
"DBS-28","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","The Grand Stage","28152311","""10% discount on lunch à la carte menu""","http://www.dbs.com.hk/personal/promotion/thegrandstage-en","2016-01-01","2016-12-31","""2/F, Western Market, 323 Des Voeux Road Central, Sheung Wan""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-thegrandstage-en.jpg"
"DBS-23","en","DBS","""DBS Black World MasterCard®"",""DBS Black American Express® Card"",""DBS Eminent Card"",""DBS Platinum Credit Card"",""COMPASS VISA & CV+"",""Other DBS Credit Cards""","Manzo Italian Steakhouse","27353980","""10% discount on à la carte menu""","http://www.dbs.com.hk/personal/promotion/manzoitaliansteakhouse-en","2016-01-01","2016-12-31","""Shop 1104, 11/F, Times Square, 1 Matheson Street, Causeway Bay""","http://www.dbs.com.hk/iwov-resources/images/creditcards/offers/small-thumbnail-manzoitaliansteakhouse-en.jpg"
