"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl","cuisineType"
"CB-1445","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","B P International - Flamingo Lounge","23787675","""10% off 3 hours beverage package""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""UG/F, 8 Austin Road, Tsim Sha Tsui, KLN""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1445.jpg","hotel"
"CB-768","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","B&W","28380004","""10% off food and beverages""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""G/F, 20-22 Yiu Wa Street, Causeway Bay, HKI""","https://www.citibank.com.hk/english/credit-cards/images/logo/img768.jpg","others"
"CB-774","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","BARG....","28344114","""15% off food and beverages""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""1/F, Bartlock Centre, 3 Yiu Wa Street, Causeway Bay, HKI""","https://www.citibank.com.hk/english/credit-cards/images/logo/img774.jpg","others"
"CB-1462","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Bay Bridge Hong Kong by Hotel G - Anchor’s seafood and beer house","29451138","""15% off all buffets""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""123 Castle Peak Road, Yau Kom Tau , Tsuen Wan, NT""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1462.jpg","hotel"
"CB-1387","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","BB's European Cuisine","28383872","""10% off à la carte dinner menu""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2015-06-01","2016-12-31","""6/F, QRE Plaza, 202 Queen's Road East, Wan Chai, HKI""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1387.jpg","western"
"CB-1452","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Bee Cheng Hiang","28330128","""10% off regular meat items""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""Shop 1, G/F, Ying Kong Mansion, 2-6 Yee Wo Street, Causeway Bay, HKI"",""Shop C, G/F, Daily House, 35-37 Haiphong Road, Tsim Sha Tsui, KLN"",""Shop B, G/F, 578 Nathan Road, Mong Kok, KLN"",""Shop 2, G/F, 60 Sai Yeung Choi Street South, Mong Kok, KLN"",""Shop 36, B2/F, Langham Place, 8 Argyle Street, Mong Kok, KLN"",""Shop H8, Hung Hom Station, Hung Hom, KLN"",""Shop 20 , Kwun Tong Station, Kwun Tong, KLN"",""Shop 36, Sha Tin Station, Sha Tin, NT"",""Shop S33, Tuen Mun Station, Tuen Mun, NT"",""Shop A4301, 1/F Nan Fung Centre, 264-298 Castle Peak Road, Tsuen Wan, NT"",""Shop 18, Level 1, Zone A, Tai Po Mega Mall, 9 On Pong Road, Tai Po, NT"",""Shop 4, Sheung Shui Station, Sheung Shui, NT"",""Departure Hall - Intercity Through Train, Hung Hom Station, Hung Hom, KLN"",""Departure Hall, 7/F, Terminal 1, Hong Kong Interational Airport, Chek Lap Kok, Outlying Islands District"",""West Hall, 6/F, Terminal 1, Hong Kong Interational Airport, Chek Lap Kok, Outlying Islands District""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1452.jpg","others"
"CB-1388","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Birdcage Chinese Gourmet","23162288","""10% off à la carte dinner menu""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2015-06-01","2016-12-31","""2/F, 15 Knutsford Terrace, Tsim Sha Tsui, KLN""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1388.jpg","chinese"
"CB-1670","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Blue Butcher","26139286","""Complimentary welcome glass of Prosecco or soft drinks per guest"",""Complimentary sharing dessert per table""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""108 Hollywood Road, Central, HKI""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1670.jpg","western"
"CB-33","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Bombay Dreams Indian","29710001","""10% off à la carte menu""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""4/F, Carfield Commercial Building, 77 Wyndham Street, Central, HKI""","https://www.citibank.com.hk/english/credit-cards/images/logo/img33.jpg","western"
"CB-1585","en","Citibank","""Citi® Ultima Card"",""Citi Prestige® Card"",""Citi® PremierMiles Card"",""Citi® Rewards Card And Octopus"",""Citi® Platinum Card""","Bouchon Bistro Francais","25259300","""10% off à la carte menu""","https://www.citibank.com.hk/english/credit-cards/promotions-year-round-privileges.htm?lid=HKENCBLCCLNTLYEARROUNDOFFERSCCLN","2016-01-01","2016-12-31","""49 Elgin Street, Soho, Central, HKI""","https://www.citibank.com.hk/english/credit-cards/images/logo/img1585.jpg","western"
