"id","language","bank","card","merchant","merchantPhone","benefit","tAndCLink","from","to","storeLocation","imageUrl"
"AM-0167857","en","American Express","""American Express Card""","Soho Spice Vietnamese & Thai","25211600","""10% savings on à la carte food and beverages menu""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167857","2016-01-01","2016-06-30","""47B Elgin Street, Soho, Central""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPRctEAG&file=00Pa000000bPRctEAG"
"AM-0168027","en","American Express","""American Express Card""","Sweet Corner - Hotel Panorama by Rhombus","35500388","""15% savings on cakes""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0168027","2016-01-01","2016-06-30","""1/F, 8A Hart Avenue, Tsim Sha Tsui""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPXeHEAW&file=00Pa000000bPXeHEAW"
"AM-0167280","en","American Express","""American Express Card""","Taj Bar and Restaurant","25254528","""10% savings on à la carte food and drink menu""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167280","2016-01-02","2016-06-30","""Shop C-D, 31 Wyndham Street, Lan Kwai Fong, Central""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSWZbEAO&file=00Pa000000iSWZbEAO"
"AM-0167968","en","American Express","""American Express Card""","The Bostonian - The Langham, Hong Kong","21327898","""12% savings on à la carte food menu for lunch and dinner""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167968","2016-01-01","2016-06-30","""Lower Lobby Level, 8 Peking Road, Tsimshatsui""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPsUoEAK&file=00Pa000000bPsUoEAK"
"AM-0167304","en","American Express","""American Express Card""","The China Bar","25265992","""A complimentary draft beer for spending of HK$300 or above (Sunday to Thursday after 9pm)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167304","2016-01-02","2016-06-30","""G/F, Ho Lee Commercial Building, 44 D'Aguilar Street,Central""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSkyEEAS&file=00Pa000000iSkyEEAS"
"AM-0168007","en","American Express","""American Express Card""","The China Coast Bar + Grill - Regal Airport Hotel","22866898","""15% savings on à la carte food menu (valid from Sunday to Thursday)"",""10% savings on à la carte food menu (valid from Friday to Saturday)"","" ""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0168007","2016-01-01","2016-06-30","""G/F, 9 Cheong Tat Road, Hong Kong International Airport, Hong Kong""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPp1TEAS&file=00Pa000000bPp1TEAS"
"AM-0168012","en","American Express","""American Express Card""","The China Coast Pub + Restaurant - Regal Oriental Hotel","21323393","""15% savings on à la carte food menu (valid from Sunday to Thursday)"",""10% savings on à la carte food menu (valid from Friday to Saturday)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0168012","2016-01-01","2016-06-30","""G/F, 30-38 Sa Po Road, Kowloon City""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPXgcEAG&file=00Pa000000bPXgcEAG"
"AM-0167964","en","American Express","""American Express Card""","The Food Gallery - The Langham, Hong Kong","21327898","""12% savings on à la carte food menu; and buffets for lunch and dinner""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167964","2016-01-01","2016-06-30","""Upper Lobby Level, 8 Peking Road, Tsimshatsui""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage%3Ffile%3D00Pa000000bPsUoEAK&file=00Pa000000bPsUoEAK"
"AM-0167281","en","American Express","""American Express Card""","The Great Indian Kebab Factory","28107000","""10% savings on à la carte food and drink menu""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167281","2016-01-02","2016-06-30","""19/F, M88, 2-8 Wellington Street, Central""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000iSWaAEAW&file=00Pa000000iSWaAEAW"
"AM-0167590","en","American Express","""American Express Card""","The Nile Egyptian Flavours","24310475","""A complimentary draft beer for spending of HK$300 or above (Sunday to Thursday after 9pm)""","http://offers.amexnetwork.com/gvp?campaignID=Cam-0000521&category=Dining&categoryLanding=false&issuerName=hk_prop#&offerId=OF-0167590","2016-01-02","2016-06-30","""G/F, 26 Hollywood Road, Soho,Central""","http://merchantgeo.force.com/selectsImage/servlet/servlet.FileDownload?retURL=%2FselectsImage%2Fapex%2FselectsImage&file=00Pa000000jF08GEAS&file=00Pa000000jF08GEAS"
